AA-Triplet, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
5612, -2.22254, -1.98413, -1.86153, -0.977327, -1.12393, -1.21094, -0.597837, -0.740938, -0.740938, -0.230112, 0.8685, 1.96711, 1.96711, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826
5613, -2.06775, -2.06775, -1.43176, -1.53712, -1.31397, -1.31397, -0.84397, -0.620826, 0.765468, -0.620826, 14.581, 0.765468, 14.581, 0.765468, 0.765468, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581, 14.581
5614, -2.19722, -2.07944, -1.50408, -1.76359, -0.847298, -0.847298, -1.29928, 1.09861, 0.693147, 9.58333e-08, 0.182322, 0.693147, 0.693147, 1.79176, 1.79176, 15.6073, 1.79176, 15.6073, 1.79176, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073, 15.6073
5615, -1.9994, -1.81708, -1.81708, -2.06002, -1.56218, -1.12393, -0.613104, -0.0741079, 0.262364, 1.8718, 1.8718, 0.77319, 1.8718, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873, 15.6873
5616, -1.64546, -1.60699, -1.64546, -1.90927, -1.70052, -1.52531, -0.971001, -0.670897, -0.0730595, -0.0730595, 0.715398, 1.22622, 1.63169, 2.32484, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403, 16.1403
5617, -2.09714, -1.83828, -1.69168, -1.38629, -1.48808, -0.693147, -0.998529, -1.14513, 0.154151, 9.28571e-08, 0.336472, 0.559616, 0.847298, 15.7614, 15.7614, 15.7614, 1.25276, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614, 15.7614
5618, -2.11537, -1.99021, -1.92122, -1.22807, -1.07392, 0.024693, -1.47938, -0.891598, -0.380772, -0.380772, 14.5334, 0.71784, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334, 14.5334
5619, -2.33768, -2.18926, -1.88815, -1.41273, -1.57307, -0.0689928, -0.356675, -0.0689928, 1.02962, 0.336472, 1.72277, 1.72277, 1.72277, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383, 15.5383
5620, -1.75402, -2.07944, -1.67398, -1.78432, -1.53088, -1.04537, -0.575364, -0.575364, -0.715126, -0.218689, 1.72722, 1.32176, 2.42037, 16.2359, 2.42037, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359, 16.2359
5621, -1.1543, -1.30845, -1.25966, -1.44198, -1.25966, -1.1543, -0.566514, -0.0556888, -0.661825, -0.902987, -0.343371, -0.902987, -0.748836, -0.0556888, 0.637458, 0.637458, 0.126633, 1.04292, 15.5516, 0.349776, 15.5516, 15.5516, 15.5516, 15.5516, 0.637458, 15.5516, 1.04292, 15.5516, 15.5516, 1.73607, 15.5516, 15.5516, 15.5516, 15.5516, 15.5516, 15.5516, 1.04292, 15.5516, 15.5516, 15.5516
5622, -0.644357, -0.421213, -0.133531, -0.826678, -0.421213, -0.980829, -1.59987, 0.271934, -1.3375, -1.11436, -0.133531, -0.421213, -1.43281, -0.826678, 0.271934, -0.644357, 14.7806, -0.133531, 0.965081, 0.965081, 0.271934, 14.7806, 0.965081, 14.7806, 14.7806, 14.7806, -0.133531, 0.965081, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806, 14.7806
5623, -0.80781, -0.80781, -1.581, -1.31864, -0.80781, -0.402345, -0.402345, -0.402345, -1.31864, -1.09549, -0.114663, -0.961961, -0.114663, 0.290802, 14.7995, 0.98395, -0.961961, -0.80781, 14.7995, 0.290802, 0.98395, 0.290802, 14.7995, 0.290802, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995, 14.7995
5624, -1.18335, -0.0847411, -1.18335, -1.09634, -1.58882, -1.18335, -0.895671, -0.307885, -0.490206, -0.0847411, -0.0847411, -0.644357, 0.202941, -0.307885, -0.307885, -1.09634, -0.490206, 1.30155, 0.202941, 0.608406, 1.30155, 0.202941, 1.30155, 15.1171, 15.1171, 15.1171, 1.30155, 15.1171, 1.30155, 15.1171, 15.1171, 15.1171, 15.1171, 15.1171, 15.1171, 15.1171, 15.1171, 15.1171, 15.1171, 15.1171
5625, 13.7102, -1.20397, -0.10536, -0.798507, 13.7102, -0.798507, -2.05127, -1.20397, -1.89712, -1.20397, -1.20397, -0.10536, 13.7102, -0.798507, -0.10536, -0.10536, -0.10536, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102, 13.7102
5626, -1.74297, -1.23214, -0.538996, 0.559616, -1.04982, -1.23214, -0.133531, -1.04982, -0.538996, -0.826678, 0.559616, 0.559616, -0.538996, -0.826678, -1.23214, -1.23214, 14.3751, 0.559616, 14.3751, 0.559616, 0.559616, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 0.559616, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751
5627, -1.43176, -1.31397, -1.02629, -0.487295, -0.620826, -0.93928, -1.02629, -0.93928, -1.18044, 0.765468, -1.3746, 0.360003, -0.487295, -0.333144, -0.620826, -0.620826, -0.150823, 1.45862, 0.765468, 1.45862, 1.45862, 0.765468, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741, 15.2741
5628, -0.546718, -0.546718, -1.23987, -1.50813, -2.07611, -1.47828, -0.620826, -0.178994, -0.178994, -0.178994, -0.0612107, 0.631936, -0.284354, -0.0612107, -0.466676, -0.178994, 0.0723207, 2.01823, 0.919619, 0.0723207, 0.631936, 1.32508, 2.01823, 0.631936, 15.8337, 15.8337, 15.8337, 2.01823, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337, 15.8337
5629, 0.559616, -0.133531, -0.538996, -1.38629, -1.38629, -0.826678, 0.559616, -0.133531, -1.04982, -1.23214, -1.04982, -1.23214, -1.51983, -0.826678, -0.538996, 0.559616, 0.559616, 14.3751, 0.559616, 14.3751, -0.133531, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 14.3751, 0.559616, 14.3751, 14.3751, 14.3751
5630, -1.28565, -1.74827, -0.850333, -1.09149, -1.22503, -0.531879, -0.937344, -0.755022, -1.16049, 0.161268, -1.01739, -0.244197, -0.398348, 0.44895, -0.398348, -0.0618753, -0.244197, 0.854415, 15.3631, 1.54756, 0.44895, 15.3631, 15.3631, 15.3631, 15.3631, 1.54756, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631, 15.3631
5631, -1.14852, -1.0373, -1.09445, -1.42296, -1.09445, -0.769032, -1.29512, -1.14852, -0.976671, -0.506668, -0.283524, 0.00415808, -0.149993, -0.769032, -0.149993, 0.00415808, -0.149993, 1.10277, 1.10277, 1.10277, 1.79592, 1.79592, 1.10277, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114, 15.6114
5632, -1.13251, -1.23787, 0.371564, -0.544727, -0.544727, -0.544727, -0.881199, -0.727049, -0.727049, -0.727049, -0.727049, -0.727049, -0.881199, -0.0339014, -0.0339014, -0.881199, 1.06471, 0.371564, -0.0339014, -0.321584, -0.321584, 0.371564, 1.06471, 1.06471, -0.0339014, 0.371564, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802, 14.8802
5633, -0.430782, -0.430782, -0.430782, -0.836248, 14.0779, -0.836248, -1.12393, -0.836248, 0.262365, -0.836248, -2.13553, -1.93486, -0.430782, -0.836248, 0.262365, 14.0779, 0.262365, 14.0779, 14.0779, 14.0779, 0.262365, 0.262365, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779, 14.0779
